"topic","term","beta"
4,"due",0.0982416877803111
4,"covid",0.0874451410014205
4,"hour",0.0615968436973066
4,"risk",0.0614361000677412
4,"exposur",0.0577690630062767
4,"week",0.038955849645091
4,"concern",0.0383384247241917
4,"center",0.0344020118708938
4,"day",0.025832755710178
4,"daycar",0.02417338317296
4,"close",0.0233907164760615
4,"limit",0.0231449627636901
4,"famili",0.0213215685146049
4,"increas",0.0190887457960005
4,"pandem",0.0175867536321318
4,"can’t",0.0159339291531486
4,"high",0.0152172485700248
4,"member",0.0137144422299527
4,"transit",0.0128243175738117
4,"current",0.0120500061253692
